check_id,location_id,submitter_id,submitted_at,check_type,public_post_url,receipt_proof_url,payment_proof_url,venue_photo_url,proof_hash,observations_public,suggested_updates,review_status,reviewed_at,reviewer_id,rejection_reason_public,base_bounty_sats,activity_factor,final_bounty_sats,paid_status,paid_at
ISSUE-10,,,,,,,,,,,,rejected,2026-01-26,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-11,,,,,,,,,,,,rejected,2026-01-26,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-12,,,,,,,,,,,,rejected,2026-01-26,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-17,DE-BE-00028,Savvy Schneier,2026-01-26T22:10,critical_change,,,,,,,,approved,2026-01-26,maintainer,,21000,1.0,21000,pending,
ISSUE-9,,,,,,,,,,,,rejected,2026-01-26,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-13,DE-BE-00033,Brilliant Diffie,2026-01-21T19:05,base,,,,,,,,rejected,2026-01-27,maintainer,**Nachweise nicht akzeptiert.** Die eingereichten Belege konnten nicht verifiziert werden.,10000,1.0,10000,pending,
ISSUE-14,,,,,,,,,,,,rejected,2026-01-27,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-15,,,,,,,,,,,,rejected,2026-01-27,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-16,,,,,,,,,,,,rejected,2026-01-27,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-18,DE-BE-00018,Savvy Schneier,,,,,,,,,,rejected,2026-01-27,,Der Check konnte nicht akzeptiert werden. Bei Fragen wende dich bitte an die Maintainer.,,,,,
ISSUE-19,DE-BE-00039,Brilliant Diffie,2026-01-27T14:51,base,,,,,,,,approved,2026-01-27,maintainer,,10000,1.0,10000,paid,2026-01-27
ISSUE-20,DE-BE-00016,Clever Rivest,2026-01-27T19:00,base,,,,,,,,approved,2026-01-28,maintainer,,10000,1.0,10000,paid,2026-01-28
